data;ibm
03/01/2006;82.06
04/01/2006;81.95
05/01/2006;82.5
06/01/2006;84.95
09/01/2006;83.73
10/01/2006;84.07
11/01/2006;84.17
12/01/2006;83.57
13/01/2006;83.17
17/01/2006;83
18/01/2006;84.46
19/01/2006;83.09
20/01/2006;81.36
23/01/2006;81.41
24/01/2006;80.85
25/01/2006;80.91
26/01/2006;80.72
27/01/2006;81.02
30/01/2006;81.63
31/01/2006;81.3
01/02/2006;81.94
02/02/2006;81.23
03/02/2006;79.97
06/02/2006;79.51
07/02/2006;79.85
08/02/2006;80.8
09/02/2006;80.4
10/02/2006;81.33
13/02/2006;80.44
14/02/2006;81.09
15/02/2006;80.85
16/02/2006;80.91
17/02/2006;80.71
21/02/2006;80.5
22/02/2006;81.35
23/02/2006;80.2
24/02/2006;80.1
27/02/2006;80.63
28/02/2006;80.24
01/03/2006;79.9
02/03/2006;79.94
03/03/2006;79.96
06/03/2006;80
07/03/2006;80.29
08/03/2006;81.14
09/03/2006;81.02
10/03/2006;81.57
13/03/2006;81.93
14/03/2006;82.88
15/03/2006;83.38
16/03/2006;82.87
17/03/2006;83.3
20/03/2006;83.58
21/03/2006;83.81
22/03/2006;84.45
23/03/2006;83.2
24/03/2006;83.36
27/03/2006;83.08
28/03/2006;82.43
29/03/2006;83.13
30/03/2006;83.2
31/03/2006;82.47
03/04/2006;83.06
04/04/2006;83.45
05/04/2006;84.17
06/04/2006;83.81
07/04/2006;82.48
10/04/2006;82.1
11/04/2006;81.16
12/04/2006;80.75
13/04/2006;81.98
17/04/2006;81.64
18/04/2006;83.31
19/04/2006;81.86
20/04/2006;82.02
21/04/2006;81.66
24/04/2006;82.11
25/04/2006;82.67
26/04/2006;83.35
27/04/2006;83.88
28/04/2006;82.34
01/05/2006;82.23
02/05/2006;82.42
03/05/2006;82.7
04/05/2006;82.43
05/05/2006;83.28
08/05/2006;82.89
09/05/2006;83.23
10/05/2006;82.9
11/05/2006;82.46
12/05/2006;82.39
15/05/2006;82.89
16/05/2006;82.16
17/05/2006;81.27
18/05/2006;80.66
19/05/2006;80.28
22/05/2006;80.02
23/05/2006;79.83
24/05/2006;79.78
25/05/2006;80.14
26/05/2006;80.75
30/05/2006;80.16
31/05/2006;79.9
01/06/2006;80.69
02/06/2006;79.52
05/06/2006;79.06
06/06/2006;79.76
07/06/2006;79.15
08/06/2006;77.03
09/06/2006;77.63
12/06/2006;77.02
13/06/2006;76.93
14/06/2006;77.71
15/06/2006;78.56
16/06/2006;77.95
19/06/2006;77.67
20/06/2006;77.99
21/06/2006;78.3
22/06/2006;77.19
23/06/2006;77.1
26/06/2006;77.15
27/06/2006;76.63
28/06/2006;76.56
29/06/2006;77.59
30/06/2006;76.82
03/07/2006;78.02
05/07/2006;77.77
